Periodo;Total
2022;85,74
2021;85,81
2020;85,04
2019;86,19
2018;85,83
2017;85,71
2016;85,82
2015;85,39
2014;85,63
2013;85,53
2012;85,1
2011;85,13
2010;85,03
2009;84,65
2008;84,33
2007;84,14
2006;84,15
2005;83,54
2004;83,57
2003;82,99
2002;83,14
2001;83,05
2000;82,73
1999;82,32
1998;82,31
1997;82,23
1996;81,88
1995;81,72
1994;81,6
1993;81,23
1992;81,14
1991;80,65
1990;80,41
1989;80,36
1988;80,15
1987;80,07
1986;79,75
1985;79,54
1984;79,51
1983;79
1982;79,19
1981;78,63
1980;78,41
1979;77,91
1978;77,37
1977;77,12
1976;76,61
1975;76,25
