"Año";"Periodo";"Gasto en pensiones"
"1996";"Año";"47.578"
"1997";"Año";"49.878"
"1998";"Año";"52.451"
"1999";"Año";"55.200"
"2000";"Año";"58.243"
"2001";"Año";"61.435"
"2002";"Año";"64.958"
"2003";"Año";"69.392"
"2004";"Año";"74.156"
"2005";"Año";"79.221"
"2006";"Año";"84.682"
"2007";"Año";"91.458"
"2008";"Año";"98.011,78"
"2009";"Año";"106.098,58"
"2010";"Año";"108.282,71"
"2011";"Año";"112.215,76"
"2012";"Año";"115.825,93"
"2013";"Año";"121.556,51"
"2014";"Año";"127.483,83"
"2015";"Año";"131.658,53"
"2016";"Año";"135.448,93"
"2017";"Año";"139.646,72"
"2018";"Año";"144.834"
"2019";"Año";"144.834,31"
"2020";"Año";"158.212"
"2021";"Año";"163.297"
"2022";"Año";"171.165"
"2023";"Año";"190.687"
;;
;;
"Métrica":"Gasto en pensiones"
"Fuente":"Ministerio de Hacienda"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/gasto-presupuestado-pensiones/858cf102-cdf7-4fc1-a47c-42a723bce283"
"Titulo":"Gasto presupuestado en Pensiones"
"Subtitulo":"(Presupuestos Generales del Estado)"
